sum,mse,linear,1,,,0.9967884793593453
sum,r2,linear,1,,,-0.7506570058555206
sum,pcc,linear,1,,,0.21259943605524728
sum,mse,poly,1,,2,0.7120655019772311
sum,r2,poly,1,,2,-0.22693541305726256
sum,pcc,poly,1,,2,0.04850690526713851
sum,mse,poly,10,,2,1.1283414391855093
sum,r2,poly,10,,2,-0.9587759787038355
sum,pcc,poly,10,,2,0.07610509159227241
sum,mse,poly,100,,2,3.594882152877844
sum,r2,poly,100,,2,-4.748162205927268
sum,pcc,poly,100,,2,0.08299681990871809
sum,mse,poly,1,,3,1.2412794781233611
sum,r2,poly,1,,3,-1.1189252245570818
sum,pcc,poly,1,,3,0.03648717517694493
sum,mse,poly,10,,3,2.57425468624412
sum,r2,poly,10,,3,-3.1389938604931507
sum,pcc,poly,10,,3,0.042978664859986734
sum,mse,poly,100,,3,12.756806093158378
sum,r2,poly,100,,3,-19.19603071872539
sum,pcc,poly,100,,3,0.09299896542552408
sum,mse,rbf,1,0.01,,0.6393955327658196
sum,r2,rbf,1,0.01,,-0.1086766950763041
sum,pcc,rbf,1,0.01,,0.17897802860541792
sum,mse,rbf,10,0.01,,0.6326718927141467
sum,r2,rbf,10,0.01,,-0.08696227684353824
sum,pcc,rbf,10,0.01,,0.2527095433901062
sum,mse,rbf,100,0.01,,0.6318011088793222
sum,r2,rbf,100,0.01,,-0.0856518829266981
sum,pcc,rbf,100,0.01,,0.2541042266609773
sum,mse,rbf,1,0.1,,0.6306594232439661
sum,r2,rbf,1,0.1,,-0.03709312091650409
sum,pcc,rbf,1,0.1,,0.11810533137988988
sum,mse,rbf,10,0.1,,0.6294297742450166
sum,r2,rbf,10,0.1,,-0.039239140301829525
sum,pcc,rbf,10,0.1,,0.11127839162720798
sum,mse,rbf,100,0.1,,0.6294297742450166
sum,r2,rbf,100,0.1,,-0.039239140301829525
sum,pcc,rbf,100,0.1,,0.11127839162720798
sum,mse,rbf,1,1,,0.6350554285213983
